mean_eda,std_eda,ent_eda,max_eda,mean_bvp,std_bvp,ent_bvp,max_bvp,label
1.640539,0.0,2.2718685126965625,1.640539,-25.45717733934845,0.0,2.2718685126965625,-25.45717733934845,1
1.634132,0.0,2.2718685126965625,1.634132,56.117784696519216,0.0,2.2718685126965625,56.117784696519216,1
1.614912,0.0,2.2718685126965625,1.614912,31.981851790138837,0.0,2.2718685126965625,31.981851790138837,1
1.591848,0.0,2.2718685126965625,1.591848,77.94712812674048,0.0,2.2718685126965625,77.94712812674048,1
1.558534,0.0,2.2718685126965625,1.558534,-109.26894025553189,0.0,2.2718685126965625,-109.26894025553189,1
1.561096,0.0,2.2718685126965625,1.561096,-147.15395681715538,0.0,2.2718685126965625,-147.15395681715538,1
1.53547,0.0,2.2718685126965625,1.53547,-12.411956649203999,0.0,2.2718685126965625,-12.411956649203999,1
1.616194,0.0,2.2718685126965625,1.616194,85.41519649244523,0.0,2.2718685126965625,85.41519649244523,1
1.585442,0.0,2.2718685126965625,1.585442,149.37868815649384,0.0,2.2718685126965625,149.37868815649384,1
1.57391,0.0,2.2718685126965625,1.57391,31.403664993763797,0.0,2.2718685126965625,31.403664993763797,1
1.567503,0.0,2.2718685126965625,1.567503,-141.6091969898319,0.0,2.2718685126965625,-141.6091969898319,1
1.558534,0.0,2.2718685126965625,1.558534,-53.56170298278874,0.0,2.2718685126965625,-53.56170298278874,1
1.550846,0.0,2.2718685126965625,1.550846,24.126991782882772,0.0,2.2718685126965625,24.126991782882772,1
1.547002,0.0,2.2718685126965625,1.547002,-49.05238869386348,0.0,2.2718685126965625,-49.05238869386348,1
1.538032,0.0,2.2718685126965625,1.538032,25.53983978276137,0.0,2.2718685126965625,25.53983978276137,1
1.532907,0.0,2.2718685126965625,1.532907,72.97571730698255,0.0,2.2718685126965625,72.97571730698255,1
1.527782,0.0,2.2718685126965625,1.527782,5.617562160101806,0.0,2.2718685126965625,5.617562160101806,1
1.523938,0.0,2.2718685126965625,1.523938,-11.4328981409277,0.0,2.2718685126965625,-11.4328981409277,1
1.522656,0.0,2.2718685126965625,1.522656,14.109824010257084,0.0,2.2718685126965625,14.109824010257084,1
1.532907,0.0,2.2718685126965625,1.532907,-27.687132425180106,0.0,2.2718685126965625,-27.687132425180106,1
1.529063,0.0,2.2718685126965625,1.529063,1.9330780047842735,0.0,2.2718685126965625,1.9330780047842735,1
